,kind,date,mode_price,area,mean_temp,max_temp,min_temp,sum_rain,sun_time,mean_humid,difference_temp
0,だいこん,20051107,735.0,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
1,かぶ,20051107,158.0,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
2,キャベツ,20051107,682.5,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
3,トマト,20051107,2415.0,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
4,さつまいも,20051107,1260.0,0,18.8,24.4,14.7,7.0,5.5,64.0,9.7
5,だいこん,20051108,840.0,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
6,かぶ,20051108,158.0,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
7,キャベツ,20051108,682.5,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
8,トマト,20051108,2310.0,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
9,さつまいも,20051108,892.5,0,17.7,22.0,13.7,0.0,9.5,49.0,8.3
10,だいこん,20051110,735.0,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
11,かぶ,20051110,126.0,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
12,キャベツ,20051110,577.5,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
13,トマト,20051110,1995.0,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
14,さつまいも,20051110,1050.0,0,13.6,18.0,9.8,0.0,6.2,64.0,8.2
15,だいこん,20051111,682.5,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999999
16,かぶ,20051111,137.0,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999999
17,キャベツ,20051111,630.0,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999999
18,トマト,20051111,1890.0,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999999
19,さつまいも,20051111,1050.0,0,12.5,14.7,9.5,0.0,0.1,72.0,5.199999999999999
